Country Name,URL,Attraction 1,Attraction 2,Attraction 3,Attraction 4,Attraction 1 Picture,Attraction 2 Picture,Attraction 3 Picture,Attraction 4 Picture
United Kingdom,https://www.thecrazytourist.com/the-top-25-things-to-do-in-england/,1. London: Chinatown,2. Cambridge: Cambridge University,3. Cornwall: The Eden Project,4. Liverpool: Maritime Mercantile City,https://cdn.thecrazytourist.com/wp-content/uploads/2018/05/ccimage-shutterstock_380810854.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2018/05/ccimage-shutterstock_304197104.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2018/05/ccimage-shutterstock_463800902.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2018/05/ccimage-shutterstock_276380318.jpg
Georgia,https://www.thecrazytourist.com/15-best-places-visit-georgia/,1. Tusheti National Park,2. Tbilisi,3. Borjomi,4. Vardzia,https://cdn.thecrazytourist.com/wp-content/uploads/2016/03/Tusheti-National-Park-Georgia-scaled.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/03/Tbilisi-Georgia.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/03/Borjomi-Georgia.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/03/Vardzia-Georgia.jpg
"Gambia, The",https://www.thecrazytourist.com/15-best-places-visit-gambia/,1. Abuko Nature Reserve,2. Banjul,3. The Albert Market,4. Old Town,https://cdn.thecrazytourist.com/wp-content/uploads/2016/07/Abuko-Nature-Reserve.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/07/Banjul.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/07/The-Albert-Market.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/07/Old-Town.jpg
Grenada,https://www.thecrazytourist.com/15-best-things-grenada/,1. Tate the tipples of the River Antoine Rum Distillery,2. Enjoy picture-perfect Grand Anse Beach,3. Hike into the Grand Etang National Park,4. Enjoy a local BBQ at Roger’s Barefoot Beach Bar,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/River-Antoine-Rum-Distillery-1024x680.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Grand-Anse-Beach.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Crater-Lake-Grand-Etang-Nature-Reserve-Grenada.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Rogers-Barefoot-Beach-Bar.jpg
Guatemala,https://www.planetware.com/tourist-attractions/guatemala-gua.htm,1. Mayan Ruins of Tikal,2. Antigua Guatemala,3. Lake Atitlán (Lago de Atitlán),4. Chichicastenango Market,https://www.planetware.com/photos-large/GUA/guatemala-tikal-ruins.jpg,https://www.planetware.com/photos-large/GUA/guatemala-antigua-0.jpg,https://www.planetware.com/photos-large/GUA/guatemala-lake-atitlan.jpg,https://www.planetware.com/photos-large/GUA/guatemala-chichicastenango.jpg
Guam,https://theculturetrip.com/pacific/guam/articles/the-top-10-things-to-see-and-do-in-guam/,,,,,,,,
Guyana,https://www.thecrazytourist.com/15-best-places-visit-guyana/,1. Georgetown,2. Linden,3. Kanuku Mountains,4. Bartica,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Georgetown-Guyana.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Boat-selling-fruits-and-vegetables-Linden.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Kanuku-Mountains.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Bartica-Guyana-1024x768.jpg
"Hong Kong SAR, China",https://www.planetware.com/tourist-attractions/hong-kong-hk.htm,1. Star Ferry,2. Hong Kong Skyline,3. Victoria Peak (The Peak),4. Big Buddha (Tian Tan Buddha Statue),https://www.planetware.com/photos-large/HK/hong-kong-star-ferry-sailing.jpg,https://www.planetware.com/wpimages/2018/10/hong-kong-attractions-skyline-night-with-junk.jpg,https://www.planetware.com/wpimages/2018/10/hong-kong-attractions-victoria-peak-view-over-harbor.jpg,https://www.planetware.com/wpimages/2018/10/hong-kong-attractions-big-buddha-and-forest.jpg
Honduras,https://www.planetware.com/tourist-attractions/honduras-hon.htm,"1. Roatán, Bay Islands",2. Copán Ruins Archeological Site,"3. Utila, Bay Islands","4. Dolphin Encounter, Roatán Institute for Marine Sciences",https://www.planetware.com/photos-large/HON/honduras-roatan.jpg,https://www.planetware.com/photos-large/HON/honduras-copan.jpg,https://www.planetware.com/photos-large/HON/honduras-utila.jpg,https://www.planetware.com/photos-large/HON/honduras-dolphin-encounter.jpg
Croatia,https://www.thecrazytourist.com/15-best-places-visit-croatia/,1. Pula,2. Korcula Island,3. Dubrovnik,4. Zagreb,https://cdn.thecrazytourist.com/wp-content/uploads/2016/03/Pula-Croatia.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/03/Korcula-Island-Croatia.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/03/Dubrovnik-Croatia.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/03/Zagreb-Croatia.jpg
Haiti,https://www.thecrazytourist.com/15-best-things-haiti/,1. Scale the La Citadelle la Ferriere,2. Get your fix of art and craft at Jacmel,3. Go on Voodoo pilgrimage to Saut-d’Eau,4. Tour the Sans-Souci Palace,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/La-Citadelle-la-Ferriere.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Jacmel-Bay.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Saut-dEau.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Sans-Souci-Palace.jpg
Hungary,https://www.thecrazytourist.com/25-best-things-hungary/,"1. Great Market Hall, Budapest","2. Dohány Street Synagogue, Budapest","3. Cave Bath, Miskolc-tapolca",4. Lake Balaton,https://cdn.thecrazytourist.com/wp-content/uploads/2017/08/Great-Market-Hall.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/08/Doh%C3%A1ny-Street-Synagogue.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/08/Cave-Bath.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/08/Lake-Balaton.jpg
Indonesia,https://www.thecrazytourist.com/top-25-things-to-do-in-indonesia/,1. Go surfing in Kuta,2. Visit Borobudur Temple,3. Sunbathe on Pulau Weh in Aceh,4. Eat Padang Food,https://cdn.thecrazytourist.com/wp-content/uploads/2018/08/ccimage-shutterstock_236644282.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2018/08/ccimage-shutterstock_500933200.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2018/08/ccimage-shutterstock_14272486.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2018/08/ccimage-shutterstock_546189148.jpg
India,https://www.planetware.com/india/best-places-to-visit-in-india-ind-1-26.htm,1. Agra,2. New Delhi,3. Mumbai,4. Rajasthan,https://www.planetware.com/wpimages/2019/11/india-best-places-to-visit-agra.jpg,https://www.planetware.com/wpimages/2019/11/india-best-places-to-visit-new-delhi.jpg,https://www.planetware.com/wpimages/2019/11/india-best-places-to-visit-mumbai.jpg,https://www.planetware.com/wpimages/2019/11/india-best-places-to-visit-rajasthan.jpg
Ireland,https://www.thecrazytourist.com/top-25-things-to-do-in-ireland/,1. Take a Cruise on the River Shannon,2. Explore Ancient Irish Castles,"3. Cliffs of Moher, County Clare","4. Kilmainham Gaol, Dublin",https://cdn.thecrazytourist.com/wp-content/uploads/2018/05/ccimage-shutterstock_796224253.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2018/05/ccimage-shutterstock_92630056.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2018/05/Cliffs-of-Moher.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2018/05/ccimage-shutterstock_176286884.jpg
"Iran, Islamic Rep.",https://www.thecrazytourist.com/15-best-places-visit-iran/,1. Esfahan,2. Shiraz,3. Tehran,4. Dizin,https://cdn.thecrazytourist.com/wp-content/uploads/2017/03/Naqsh-e-Jahan-Square-Esfahan.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/03/Nasir-al-Mulk-Mosque-Shiraz.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/03/Azadi-Tower-Tehran.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/03/Dizin.jpg
Iceland,https://www.thecrazytourist.com/25-best-things-iceland/,1. Visit Snæfellsjökull National Park,2. Admire the Dynjandi Waterfall,3. Go hiking at Hornstrandir Nature Reserve,4. Observe the Tectonic Plates,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Sn%C3%A6fellsj%C3%B6kull-National-Park.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Dynjandi-Waterfall.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Hornstrandir-Nature-Reserve.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Tectonic-Plates.jpg
Israel,https://www.planetware.com/tourist-attractions/israel-isr.htm,1. Jerusalem,2. Haifa,3. Nazareth,4. Jaffa,https://www.planetware.com/photos-large/ISR/israel-jerusalem-skyline.jpg,https://www.planetware.com/photos-large/ISR/israel-haifa-bahaii-gardens.jpg,https://www.planetware.com/photos-large/ISR/israel-nazareth-church-of-the-annunciation.jpg,https://www.planetware.com/photos-large/ISR/israel-jaffa-port-view.jpg
Italy,https://www.thecrazytourist.com/25-best-things-italy/,1. Visit the Valley of the Temples,2. Climb Mount Vesuvius,3. Cinque Terre,4. Take to the waters of Lake Como,https://cdn.thecrazytourist.com/wp-content/uploads/2017/08/Valley-of-the-Temples.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/08/Mount-Vesuvius.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/08/Cinque-Terre.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/08/Lake-Como.jpg
Jamaica,https://www.thecrazytourist.com/15-best-things-jamaica/,1. Bathe under the Dunn’s River Falls,2. Kick-back on Seven Mile Beach,3. Wonder at the pretty colonial styles of Devon House,4. Swim with the dolphin pods at Dolphin Cove,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Dunns-River-Falls-Jamaica.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Seven-Mile-Beach.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Devon-House.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Dolphin-Cove-Jamaica.jpg
Jordan,https://www.thecrazytourist.com/15-best-places-visit-jordan/,1. Petra,2. Al-Maghtas,3. Amman,4. Jerash,https://cdn.thecrazytourist.com/wp-content/uploads/2017/03/Petra.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/03/Al-Maghtas.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/03/Amman.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/03/Jerash.jpg
Japan,https://www.planetware.com/tourist-attractions/japan-jpn.htm,1. Mount Fuji,2. Imperial Tokyo,3. Hiroshima Peace Memorial Park,4. Historic Kyoto,https://www.planetware.com/photos-large/JPN/japan-attractions-mount-fuji.jpg,https://www.planetware.com/photos-large/JPN/japan-attractions-imperial-palace.jpg,https://www.planetware.com/photos-large/JPN/japan-attractions-hiroshima-peace-memorial-park.jpg,https://www.planetware.com/photos-large/JPN/japan-attractions-kyoto.jpg
Kazakhstan,,,,,,,,,
Kenya,https://www.thecrazytourist.com/15-best-places-visit-kenya/,1. Maasai Mara,2. Lamu Island,3. Amboseli National Park,4. Nairobi,https://cdn.thecrazytourist.com/wp-content/uploads/2016/09/Maasai-Mara.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/09/Lamu-Island.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/09/Amboseli-National-Park.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/09/Nairobi.jpg
Cambodia,https://www.thecrazytourist.com/15-best-places-visit-cambodia/,1. Angkor,2. Sihanoukville,3. Phnom Penh,4. Kratie,https://cdn.thecrazytourist.com/wp-content/uploads/2017/01/Angkor-Wat.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/01/Sihanoukville.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/01/Royal-Palace-.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/01/Kratie.jpg
St. Kitts and Nevis,https://www.thecrazytourist.com/15-best-things-st-kitts-nevis/,1. Make for the fortress on Brimstone Hill,2. Hike to the top of Mount Liamuiga,3. Find pure luxury on Oualie Beach,4. Gasp at the Black Rocks,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Brimstone-Hill.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Mount-Liamuiga.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Oualie-Beach.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Black-Rocks.jpg
"Korea, Rep.",https://www.planetware.com/south-korea/top-rated-tourist-attractions-in-south-korea-kor-1-4.htm,1. Changdeokgung Palace,2. Busan,3. Jeonju,4. N Seoul Tower,https://www.planetware.com/wpimages/2019/06/south-korea-top-tourist-attractions-changdeokgung-palace.jpg,https://www.planetware.com/wpimages/2019/06/south-korea-top-tourist-attractions-busan-gamecheon.jpg,https://www.planetware.com/wpimages/2019/06/south-korea-top-tourist-attractions-jeonju.jpg,https://www.planetware.com/wpimages/2019/06/south-korea-top-tourist-attractions-seoul-tower.jpg
Kuwait,,,,,,,,,
Lao PDR,https://www.thecrazytourist.com/15-best-places-visit-laos/,1. Vientiane,2. Luang Prabang,3. Vang Vieng,4. Huay Xai,https://cdn.thecrazytourist.com/wp-content/uploads/2018/01/ccimage-shutterstock_721612831.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2018/01/ccimage-shutterstock_444706201.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2018/01/ccimage-shutterstock_314095454.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2018/01/ccimage-shutterstock_345048239.jpg
Lebanon,https://theculturetrip.com/middle-east/lebanon/articles/the-best-things-to-see-and-do-in-lebanon/,,,,,,,,
St. Lucia,https://www.thecrazytourist.com/15-best-things-st-lucia/,1. Climb the Gros Piton,2. Wonder at the Sulphur Springs,3. Bathe in the nearby mud pools,4. Stroll along Vigie Beach,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Gros-Piton.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Sulphur-Springs-St-Lucia.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Sulphur-Springs-Mud-Bath-St-Lucia.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/08/Vigie-Beach-St-Lucia.jpg
Sri Lanka,https://www.planetware.com/sri-lanka/best-places-to-visit-in-sri-lanka-sri-1-2.htm,1. Colombo,2. Kandy,3. Udawalawe National Park,4. Galle,https://www.planetware.com/wpimages/2020/01/sri-lanka-best-places-to-visit-colombo.jpg,https://www.planetware.com/wpimages/2020/01/sri-lanka-best-places-to-visit-kandy.jpg,https://www.planetware.com/wpimages/2020/01/sri-lanka-best-places-to-visit-udawalawe-national-park.jpg,https://www.planetware.com/wpimages/2020/01/sri-lanka-best-places-to-visit-galle.jpg
Lesotho,https://www.thecrazytourist.com/15-best-places-visit-lesotho/,1. Tsehlanyane National Park,2. Maseru,3. Semonkong,4. Katse Dam,https://cdn.thecrazytourist.com/wp-content/uploads/2017/01/Tsehlanyane-National-Park.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/01/Maseru.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/01/Semonkong.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/01/Katse-Dam.jpg
Luxembourg,https://www.thecrazytourist.com/25-best-things-luxembourg/,1. Wander around the Old Quarter,2. Visit Notre Dame Cathedral,3. Admire the National Museum of History and Art,4. Stroll around Parc Merveilleux,https://cdn.thecrazytourist.com/wp-content/uploads/2022/04/ccimage-shutterstock_515555533.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2022/04/ccimage-shutterstock_1256459863.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2022/04/ccimage-shutterstock_1388695886.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2022/04/ccimage-shutterstock_256777171.jpg
Latvia,https://www.thecrazytourist.com/25-best-things-latvia/,1. Go for a walk at Town Hall Square,2. Explore the Seaside Open Air Museum in Ventspils,3. Walk down Jauniela,4. Brave the Naval Port Prison,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Town-Hall-Square-.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Seaside-Open-Air-Museum.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Jauniela.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Naval-Port-Prison-1024x564.jpg
"Macao SAR, China",https://www.planetware.com/tourist-attractions/macao-macau-mco.htm,1. Visit the Ruins of St. Paul's,2. Stroll through Senado Square,3. A-Ma Temple,4. Fortaleza do Monte: Home of the Macau Museum,https://www.planetware.com/wpimages/2018/11/Macau-attractions-things-to-do-street-scene.jpg,https://www.planetware.com/wpimages/2018/11/macau-attractions-things-to-do-st-pauls-ruins-and-people.jpg,https://www.planetware.com/wpimages/2018/11/Macau-attractions-things-to-do-senado-square-day.jpg,https://www.planetware.com/wpimages/2018/11/macau-attractions-things-to-do-a-ma-temple-and-women.jpg
Morocco,https://www.thecrazytourist.com/15-best-places-visit-morocco/,1. Fez,2. Marrakech,3. Casablanca,4. Meknes,https://cdn.thecrazytourist.com/wp-content/uploads/2016/10/Fez-Morocco.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/10/Marrakech.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/10/Casablanca.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/10/Meknes.jpg
Monaco,https://www.thecrazytourist.com/25-best-things-monaco/,1. Tour the Palais du Prince,2. Visit the Monte Carlo Casino,3. Visit the Musée Oceanographique,4. Walk around Jardin Exotique,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Palais-du-Prince.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Monte-Carlo-Casino.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Mus%C3%A9e-Oceanographique.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Jardin-Exotique.jpg
Moldova,https://www.thecrazytourist.com/15-best-places-visit-moldova/,1. Chisinau,2. Orheiul Vechi,3. Cricova Winery,4. Tipova Monastery,https://cdn.thecrazytourist.com/wp-content/uploads/2016/04/Chisinau-Moldova.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/04/The-cross-of-Orheiul-Vechi-Moldova.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/04/Cricova-Winery-Moldova.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/04/Tipova-Monastery.jpg
Maldives,https://www.thecrazytourist.com/15-best-places-visit-maldives/,1. Male,2. Hulhumale Island,3. Maafushi,4. Utheemu,https://cdn.thecrazytourist.com/wp-content/uploads/2017/04/Islamic-Centre.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/04/Hulhumale-Island.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/04/Maafushi.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/04/Utheemu.jpg
Mexico,https://www.planetware.com/tourist-attractions/mexico-mex.htm,1. Cancún and the Mayan Riviera,2. Puerto Vallarta,3. Cabo San Lucas and the Los Cabos Corridor,4. Copper Canyon: Mexico's Grand Canyon,https://www.planetware.com/photos-large/MEX/mexico-top-places-cancun-mayan-riviera.jpg,https://www.planetware.com/photos-large/MEX/mexico-top-places-puerto-vallarta.jpg,https://www.planetware.com/photos-large/MEX/mexico-top-places-cabo-san-lucas.jpg,https://www.planetware.com/photos-large/MEX/mexico-top-places-copper-canyon.jpg
North Macedonia,https://www.thecrazytourist.com/15-best-places-visit-macedonia/,1. Skopje,2. Bitola,3. Prilep,4. Kruševo,https://cdn.thecrazytourist.com/wp-content/uploads/2016/03/Skopje-Macedonia.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/03/Bitola-Macedonia-1024x685.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/03/Monastery-of-St-Archangel-Michail-in-Varos-Prilep-Macedonia.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/03/Kru%C5%A1evo-Macedonia.jpg
Mali,https://www.thecrazytourist.com/15-best-places-visit-mali/,1. Timbuktu,2. Gao,3. Bamako,4. Djenné,https://cdn.thecrazytourist.com/wp-content/uploads/2016/11/Timbuktu.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/11/Gao-Mali.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/11/Bamako.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/11/Grand-Mosque-of-Djenne.jpg
Malta,https://www.thecrazytourist.com/25-best-things-malta/,1. Visit the old capital of Mdina,2. Take in the views from Upper Barrakka Gardens,3. Dive beneath the seas at the HMS Maori,4. Delve into the Lascaris War Rooms,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/old-capital-of-Mdina.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Upper-Barrakka-Gardens.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/HMS-Maori.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/07/Lascaris-War-Rooms.jpg
Myanmar,https://www.thecrazytourist.com/15-best-places-visit-myanmar/,1. Bagan,2. Yangon,3. Kalaw,4. Mandalay,https://cdn.thecrazytourist.com/wp-content/uploads/2017/02/Bagan.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/02/Shwedagon-Pagoda.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/02/Kalaw.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/02/Shwenandaw-Monastery-.jpg
Mongolia,https://www.thecrazytourist.com/15-best-places-visit-mongolia/,1. Karakorum,2. Terelj National Park,3. Lake Khovsgol,4. Altai Tavan Bogd National Park,https://cdn.thecrazytourist.com/wp-content/uploads/2017/04/Karakorum.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/04/Terelj-National-Park.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/04/Lake-Khovsgol.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2017/04/Altai-Tavan-Bogd-National-Park.jpg
Northern Mariana Islands,,,,,,,,,
Mauritius,https://www.thecrazytourist.com/15-best-places-visit-mauritius/,1. Grand Bassin,2. Sir Seewoosagur Ramgoolam Botanical Gardens,3. Pointe d’Esny and Blue Bay,4. Black River Gorges National Park,https://cdn.thecrazytourist.com/wp-content/uploads/2016/04/Hindu-gods-at-Grand-Bassin-Mauritius.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/04/Sir-Seewoosagur-Ramgoolam-Botanical-Gardens.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/04/Pointe-dEsny.jpg,https://cdn.thecrazytourist.com/wp-content/uploads/2016/04/Black-River-Gorges-National-Park.jpg
